speechiness,instrumentalness,acousticness,energy,danceability,valence,id,cluster
0.0272,0.0,0.277,0.466,0.534,0.23,7trjNYF5ek7zX4GKSHQZbP,4
0.085,0.0,0.00958,0.923,0.524,0.318,4oGCfTHN1hmXGy5mqmJVc3,0
0.0326,0.0,0.0168,0.711,0.528,0.0873,4cF4vuC7Ci29yhnbuoFRZx,0
0.0318,0.0,0.00411,0.931,0.588,0.625,6Qpfsw8OS5HW5XxgmXYLWS,3
0.0346,0.0,0.175,0.621,0.796,0.808,3zAOcNGOFq5Q1OsN0tcxA0,3
0.0444,0.0,0.000403,0.88,0.489,0.544,1JJGASeJlXOH7NcO6JuKO1,0
0.0266,0.0,0.0979,0.826,0.667,0.665,2hsarLx1u2OgOmkcJ8ejBm,3
0.0388,1.24e-05,0.17,0.818,0.476,0.626,418ve8CTLM3XbeGWSq8fA6,0
0.0338,0.0,0.141,0.605,0.536,0.341,4QWXSTeUHFzU0INh7SNqSU,0
0.0601,0.0,0.0107,0.757,0.607,0.662,1KHCFA1Wb1MYQi4WQIYqrm,3
0.0313,3.13e-06,0.0906,0.833,0.521,0.581,5JLf54f83nJrxD4IhFaLl7,0
0.223,5.36e-05,0.521,0.584,0.913,0.627,2xVcCDRgG3TrH69TatsUxp,2
0.289,0.000237,0.00302,0.589,0.901,0.399,6Rpbzk2LC8xWZI93RyodAq,2
0.0691,0.000272,0.0492,0.729,0.783,0.58,2oiixB9QMIzhWaHGVlQx4g,3
0.249,0.0,0.341,0.78,0.793,0.576,3Zyk5Vd9WNPNVWxvb0EZTk,2
0.194,0.0,0.298,0.703,0.713,0.576,5MxFWjuqQIsbNWbMdMdbli,2
0.0458,0.0,0.296,0.602,0.537,0.753,0mzsLrUNazBaRfYZfjmpSV,3
0.0584,6.43e-05,0.114,0.831,0.743,0.609,0CYTGMBYkwUxrj1MWDLrC5,3
0.312,0.000182,0.472,0.692,0.951,0.431,6WbAhuwE6fCOriBu5786X1,2
0.0706,0.00139,0.34,0.888,0.758,0.408,0fADaWdT3obxk7zvHS18VY,3
0.0648,0.0,0.407,0.925,0.574,0.905,5Fh9fyHRnSwKLo4asG6fEX,3
0.15,0.000238,0.251,0.761,0.751,0.553,0oBtwScT4B4BR5kZitNWd5,3
0.0467,0.0,0.0354,0.858,0.676,0.67,2oW52tBeJNSv93Ct5AJb8q,3
0.108,7.95e-06,0.649,0.74,0.869,0.598,2caVKAWz7oM5Hw3LDWWVnQ,3
0.162,1.24e-06,0.169,0.662,0.892,0.607,54ELExv56KCAB4UP9cOCzC,3
0.0424,3.18e-06,0.395,0.611,0.707,0.416,6P7Baz3uteblV2zklm39BC,4
0.108,3.33e-06,0.431,0.79,0.838,0.962,1DxEbt6OSbrkRthk6pjZue,3
0.044,0.033,0.0125,0.782,0.621,0.55,2tTmW7RDtMQtBk7m2rYeSw,3
0.0686,0.0,0.249,0.631,0.724,0.957,0Iozrbed8spxoBnmtBMshO,3
0.0538,7.09e-05,0.0965,0.826,0.784,0.893,2mpoNBkngUEwnaKoBhZ0vl,3
0.077,0.0,0.0308,0.822,0.733,0.348,2ypbIXW3a7fsLdLtLpZWDZ,0
0.0336,0.0,0.355,0.662,0.781,0.686,40vzZFWG1h60TdZPuxuX3Y,3
0.0498,5.65e-06,0.173,0.872,0.765,0.722,0NO2zL0kw8sGGnaMvHKAZF,3
0.0981,0.0,0.117,0.83,0.806,0.663,1j4yhkxSCEDmiLVKjpYKWq,3
0.077,0.00526,0.0308,0.775,0.799,0.605,35ns1WEurw3MVlHJjHwNWQ,3
0.0972,3.95e-05,0.417,0.682,0.739,0.476,5S8i9p2xS8M8pFqfZMbMzI,4
0.066,0.00471,0.149,0.818,0.803,0.82,3QWCxOv2YharMus6KbfiPJ,3
0.158,0.0,0.308,0.544,0.827,0.728,13FHy6nHjXHbzHj1dZFB1G,3
0.11,1.38e-05,0.0462,0.681,0.872,0.481,4EQOGfssbSpTlV6EZRtrSv,3
0.0442,0.0,0.187,0.643,0.491,0.779,6Um358vY92UBv5DloTRX9L,3
0.0571,1.91e-06,0.0584,0.727,0.736,0.644,6OzUIp8KjuwxJnCWkXp1uL,3
0.0846,0.0,0.0278,0.711,0.681,0.826,1PAvhqefivTNdxZ4u8RT1d,3
0.0668,0.0,0.692,0.735,0.756,0.558,3HMlb6Dh9OGr3CjV6IwjEP,4
0.188,0.000201,0.0984,0.58,0.531,0.887,0Dl34Kegtc0y0m0oPhQfiI,3
