key,duration_ms,tempo,mode,instrumentalness,id,cluster
4,185731,89.721,1,0.0,0EAzZ4aKlERuRmAYIXcRX6,5
7,206865,141.982,1,1.72e-06,6KGtAlYvgm4W9PoYabFAYE,1
1,166301,166.031,1,0.0,1pbUfl4W9KtQ5hNkT6RiXp,1
6,211227,112.022,1,1.93e-05,6BWOWBSalJEp7woRZSyiMb,4
0,211933,159.989,1,0.00156,16Sdmdt7jpibASwEsO0s9j,1
4,200400,150.033,1,0.0,1116cRlf1zVJXVI2fUUwFD,1
4,187640,102.997,1,0.00267,3knS4WXNNRBd3zkx2v78cx,5
11,166036,144.092,1,0.0,1jX9wlAgVkAl0fCZqkCI73,4
6,277660,140.0,1,0.0,7trjNYF5ek7zX4GKSHQZbP,1
7,183573,149.972,1,0.0,4oGCfTHN1hmXGy5mqmJVc3,1
1,189278,157.99,1,0.0,4cF4vuC7Ci29yhnbuoFRZx,1
6,219333,105.027,1,0.0,6Qpfsw8OS5HW5XxgmXYLWS,4
2,151973,121.904,1,0.0,3zAOcNGOFq5Q1OsN0tcxA0,5
0,169800,135.882,1,0.0,1JJGASeJlXOH7NcO6JuKO1,5
4,156906,112.041,1,0.0,2hsarLx1u2OgOmkcJ8ejBm,5
6,218213,144.131,0,1.24e-05,418ve8CTLM3XbeGWSq8fA6,0
7,196163,130.053,1,0.0,4QWXSTeUHFzU0INh7SNqSU,4
2,192053,164.096,1,0.0,1KHCFA1Wb1MYQi4WQIYqrm,1
8,224985,141.944,1,3.13e-06,5JLf54f83nJrxD4IhFaLl7,4
9,174370,119.873,1,5.36e-05,2xVcCDRgG3TrH69TatsUxp,4
1,196600,98.002,0,0.000237,6Rpbzk2LC8xWZI93RyodAq,2
6,216148,167.968,0,0.000272,2oiixB9QMIzhWaHGVlQx4g,0
1,203360,178.046,0,0.0,3Zyk5Vd9WNPNVWxvb0EZTk,2
8,255693,123.06,1,0.0,5MxFWjuqQIsbNWbMdMdbli,4
7,271862,157.437,1,0.0,0mzsLrUNazBaRfYZfjmpSV,1
8,168133,95.975,0,6.43e-05,0CYTGMBYkwUxrj1MWDLrC5,0
5,201280,115.047,0,0.000182,6WbAhuwE6fCOriBu5786X1,2
1,197383,107.039,1,0.00139,0fADaWdT3obxk7zvHS18VY,5
8,267017,95.738,0,0.0,5Fh9fyHRnSwKLo4asG6fEX,0
11,151325,92.032,0,0.000238,0oBtwScT4B4BR5kZitNWd5,0
0,161173,139.998,1,0.0,2oW52tBeJNSv93Ct5AJb8q,5
5,206499,117.949,0,7.95e-06,2caVKAWz7oM5Hw3LDWWVnQ,2
8,227013,93.976,1,1.24e-06,54ELExv56KCAB4UP9cOCzC,4
7,176222,93.004,1,3.18e-06,6P7Baz3uteblV2zklm39BC,4
6,161452,92.927,0,3.33e-06,1DxEbt6OSbrkRthk6pjZue,2
2,198938,128.033,1,0.033,2tTmW7RDtMQtBk7m2rYeSw,5
4,160909,176.076,0,0.0,0Iozrbed8spxoBnmtBMshO,2
7,184066,138.078,0,7.09e-05,2mpoNBkngUEwnaKoBhZ0vl,0
8,188784,122.005,0,0.0,2ypbIXW3a7fsLdLtLpZWDZ,0
0,197477,91.999,1,0.0,40vzZFWG1h60TdZPuxuX3Y,5
1,237474,94.999,1,5.65e-06,0NO2zL0kw8sGGnaMvHKAZF,5
7,217255,81.01,0,0.0,1j4yhkxSCEDmiLVKjpYKWq,0
11,296907,95.027,1,0.00526,35ns1WEurw3MVlHJjHwNWQ,4
9,186723,94.048,0,3.95e-05,5S8i9p2xS8M8pFqfZMbMzI,0
4,149471,90.999,0,0.00471,3QWCxOv2YharMus6KbfiPJ,2
11,134000,164.999,1,0.0,13FHy6nHjXHbzHj1dZFB1G,1
0,188009,96.986,0,1.38e-05,4EQOGfssbSpTlV6EZRtrSv,2
10,169419,162.469,1,0.0,6Um358vY92UBv5DloTRX9L,1
5,229065,94.048,0,1.91e-06,6OzUIp8KjuwxJnCWkXp1uL,2
10,156319,89.89,0,0.0,1PAvhqefivTNdxZ4u8RT1d,0
7,193125,92.028,1,0.0,3HMlb6Dh9OGr3CjV6IwjEP,4
5,151988,169.865,0,0.000201,0Dl34Kegtc0y0m0oPhQfiI,2
0,190654,106.972,1,0.0361,2TDyyEBasw10wu5Uh94bR1,5
1,230653,96.99,1,0.0,5NxhMcHSVY3Z7ykWxZf3aj,5
5,169560,173.945,1,0.0,7EyGZtJuOckQfMDJL1PPrH,1
7,189080,92.984,1,0.0,4dLIAE3xbJLoiIBbKkZWJk,4
0,190745,119.99,1,0.0,0rvbMTIWwMZaMC9UnubDPb,5
0,224921,98.395,1,0.0,6TBzRwnX2oYd8aOrOuyK1p,5
11,174943,136.175,0,0.000107,1lRtH4FszTrwwlK5gTSbXO,0
5,156400,95.019,1,0.0,3kUq4sBcmxhnOtNysZ9yrp,4
7,213061,98.047,0,1.73e-05,5Eax0qFko2dh7Rl2lYs3bx,0
9,144428,126.264,0,0.0,1caKQ2Nqtr1eoczaB83cUz,0
7,191607,98.03,1,0.0,2X8AGLwb9F0JzJ9zT27a22,4
2,204827,178.117,1,3.56e-05,3LWay44eeYFEh27Gf1UA7J,1
6,166775,129.999,1,3.05e-06,2K9kZpwD2CzTa6iiSYYOoO,4
9,126774,123.978,1,0.0,4wteGC0HtLeZWjDcczc4Pw,4
10,433916,161.667,1,0.427,1wTopxO5eQBpxrBXPSbsUn,1
1,186762,113.969,1,0.000365,1JUtrCqYzJ80tcAzMbCvir,5
5,186043,91.991,1,0.0,1yHVHoz6Ny29gbbWJYVnFt,4
5,242150,126.009,0,0.0,2JIY6nN5kkkfNz0TckPqYu,2
0,182085,128.036,1,5.56e-06,7rS4oy2qpJNULQAVgJQTun,5
1,177500,118.984,1,0.00586,2x8zUjRP6z5N2GmZ13zU76,5
1,135067,113.946,1,0.0542,3iBgrkexCzVuPy4O9vx7Mf,5
0,264473,100.559,0,0.0,12cZWGf5ZgLcKubEW9mx5q,2
6,90111,76.964,1,0.000413,0wOtc2nY3NOohp4xSwOyTN,4
0,170907,122.016,1,0.0,65gLItuJFVkdt3k4ibQMAz,5
1,200173,82.518,1,0.0,74d3yEyNl807mtzttoKTbK,5
9,209188,173.839,1,0.00464,31Wlc9ZnraX3JxrvMg9e8H,1
6,159100,111.832,1,0.0,0GfCR4T6WOErZOw1557ln7,4
8,283314,121.939,1,0.0,0XdwIG7p28SeTam3DVdMX6,4
8,210203,79.992,1,0.0377,5UhZyWfrSEhGYfIIFNYscF,4
10,187944,77.461,1,0.0,48ElaQLYuOaybqagIlPxpU,4
11,137221,94.922,1,0.0412,2XynYulas10Wmef4Gqrxw9,4
0,210773,120.058,1,0.227,4IPATLSUoEdsmqwxwNjr4g,5
6,279692,129.991,1,0.0184,76YXmewvHFse7tBeOTtSx3,4
9,123158,95.086,0,0.000195,6PoD6ZYOAMkCJAbpAgpT1T,0
0,189723,164.03,1,8.43e-06,11pocbaq7T3ouJd4oa64Xn,1
7,172853,105.917,1,1.85e-06,2hNQDbZcN3vqRAuwiz7poI,4
5,225446,106.436,1,4.09e-06,7iinMLIDWw5QA7d6x0d5HJ,4
1,137931,127.018,1,0.0,7itIhLBlKcpdaSqXRsSuW3,5
11,215907,115.004,1,0.00669,06YDsNc6mrl60G2FZeUOmE,4
0,181890,114.981,1,0.0,4KQODLeXGCDfixEiUX6aDF,5
6,157619,125.998,1,0.0116,3s32YmunFgfXVWgLRKLdKm,4
7,147987,128.034,0,1.9e-06,1YWr18dWRmuvPgAsPBsOow,0
11,173000,107.971,1,0.174,3Mi8teeczekyPhn5lgW8li,4
8,195600,150.029,1,7.64e-06,3wHRgXJJTTwS2CkusTpn56,1
1,102947,83.84,1,0.0,2IEAEeX4LtxiYPdqt0C08y,5
4,136387,174.995,0,0.000608,2YiQL9Aa4PmGF8oMFADzzA,2
9,201524,104.023,1,0.915,11sfRkHdvsop5DdHVmGpt1,3
9,175387,168.026,1,0.00764,0KmC4jFH8axcJqKvOTBXeX,1
7,190334,91.0,0,0.0,3iwKWIaEZ5jafPYZZSCDLz,0
6,180846,183.792,0,0.273,6EoI0gxW5egUN3SFxgQb7H,1
7,189870,126.004,1,0.0,4N27EhvsqQ0FWVrPS4trAS,4
5,164618,128.117,1,0.0,4x83cYbV42NT0z1QkTj4TN,4
1,201174,127.385,1,9.22e-06,6rN8cR7iEcC1hAlHF4UpSN,5
0,167592,90.012,0,0.0,1muiS9jrDUTADqIE7yKuYV,2
5,171602,145.934,1,3.8e-06,3vHKqg3WDgtWA5unl5layh,1
9,199074,146.064,1,0.552,3gB0fkEzOzV0kEWuQBFweu,3
1,180060,121.373,0,0.0,2I0aHZjCXh6UjMHIOqugYF,2
4,169692,85.693,0,2.79e-05,4XwVObmSna9zn4hOtWrptC,2
2,148761,78.023,1,0.0,2gSPHSdf0vrk2Psxmn8sUn,5
4,157705,98.054,1,0.000779,49xISBZpODXRwd7vVxGL93,5
8,204762,126.041,1,0.0,5F6gniXisSbOKtfgIJIKoD,4
3,211533,137.989,1,0.0,2Iu5OBDudGv5B0qfKKKbGm,1
10,143360,134.021,0,0.0,5a72KEfxqoMjzI0sv1By3w,0
5,171744,66.734,0,0.00229,7blLoD6TgyXy2tiTtbOLsI,2
7,173951,159.842,1,2.41e-06,0D5le1perOPiaFYmNak8Kp,1
11,195510,141.016,1,0.0451,3ne8gcrNZD2lJihBGl5RC5,4
10,241579,114.042,0,0.000287,0uoaYBn3prfGyWQR59wkeQ,0
6,165591,146.41,1,0.89,06vDTKSGYDtZpXt8q0S5Zb,3
10,190000,94.004,0,0.0,4QI32cLrF64ZTPfIHwIH5w,0
9,142928,147.578,1,0.0,0AEDkc8eq71U6mNRW034zz,1
1,153625,100.097,1,1.95e-05,0tBoaUMgYe6JuDHsTvVSpP,5
5,154553,74.999,0,0.0,0teFeL0RvDeDbpmi1YZlFt,2
7,162300,142.079,1,0.0,3zMp6WgIRFof3uq6B43iQO,1
0,154471,122.985,0,0.000962,39C3SOi6UMD9rHeXAQPNa9,2
1,125740,129.926,1,0.0,71jQDHJXd7RZ3MbgqVjQeg,5
0,182400,159.869,1,0.0,5GKs69j8y4MajGkizLNFCK,1
8,179160,77.685,1,0.0,3Bey9kH0UEORyDMxT7Oph8,4
2,208630,116.035,1,0.0,1SRw5p2lVAi7RGlHEmZg66,5
7,168250,123.298,0,0.0,5SBNMriy9hxF4I8iyooBGx,0
1,177984,124.054,1,0.0,4jCu9I3jXfKLr48r98RyVg,5
11,194109,113.032,0,0.0166,3p3tezl8FJHkm68tczR0yP,0
9,235435,125.023,0,0.0,7uZ5C69LskNw0B4szvVWI5,0
7,175480,162.071,1,0.0,5zyaXeckgqmCJso44ma5gK,1
4,174258,141.241,1,0.000124,1RKP6D6QvUStrPP5TvPnXA,1
8,173262,140.088,1,0.533,6dmZu0IVmbT1rDIiYiRchg,3
4,204489,128.059,1,1.91e-06,0AQ3u9Uzk3IG5r7sjYH0Cu,5
4,218702,112.002,0,0.0,4xYlpJPENfM4DT0rUYFqSP,2
1,208253,157.57,0,8.49e-05,24TzmWrz2HHWV3UO5PlvNb,2
1,129985,88.761,1,0.0,4E5gMun6nSKQJg5EqU2QhH,5
6,187619,126.049,1,0.0508,4GUxUmge58qGkX81nD2RRe,4
4,177260,129.895,1,8.63e-06,4PZXDDm2BVEccltAEGHuJp,5
1,144025,125.02,0,0.0878,6OHQzBYaXeF6FVu8gxLMkE,2
1,185566,113.828,1,0.000673,6KkeXDWP0gvoJkouKmF6De,5
7,200952,115.992,0,0.000187,7E6jdcJTGDpYmjHFnXu3vG,0
0,208960,119.981,1,1.74e-05,0ETmDfpRKtQIC45COn64V9,5
9,183645,111.003,1,0.0,09pr49bPWb2OKkDSvxKn2s,4
7,264879,78.931,1,0.0005,0sNOQIiJEuEINXFmtZYXam,4
4,234800,113.892,1,0.0,35w6sOAI3DDG4UqeWqkQJT,5
