danceability,tempo,energy,valence,mode,id,cluster
0.516,166.031,0.867,0.615,1,1pbUfl4W9KtQ5hNkT6RiXp,10
0.723,112.022,0.633,0.498,1,6BWOWBSalJEp7woRZSyiMb,12
0.554,159.989,0.809,0.462,1,16Sdmdt7jpibASwEsO0s9j,10
0.517,150.033,0.901,0.567,1,1116cRlf1zVJXVI2fUUwFD,10
0.739,102.997,0.72,0.892,1,3knS4WXNNRBd3zkx2v78cx,12
0.676,144.092,0.856,0.965,1,1jX9wlAgVkAl0fCZqkCI73,12
0.534,140.0,0.466,0.23,1,7trjNYF5ek7zX4GKSHQZbP,0
0.524,149.972,0.923,0.318,1,4oGCfTHN1hmXGy5mqmJVc3,8
0.528,157.99,0.711,0.0873,1,4cF4vuC7Ci29yhnbuoFRZx,8
0.588,105.027,0.931,0.625,1,6Qpfsw8OS5HW5XxgmXYLWS,6
0.796,121.904,0.621,0.808,1,3zAOcNGOFq5Q1OsN0tcxA0,12
0.489,135.882,0.88,0.544,1,1JJGASeJlXOH7NcO6JuKO1,10
0.667,112.041,0.826,0.665,1,2hsarLx1u2OgOmkcJ8ejBm,12
0.476,144.131,0.818,0.626,0,418ve8CTLM3XbeGWSq8fA6,11
0.536,130.053,0.605,0.341,1,4QWXSTeUHFzU0INh7SNqSU,0
0.607,164.096,0.757,0.662,1,1KHCFA1Wb1MYQi4WQIYqrm,10
0.521,141.944,0.833,0.581,1,5JLf54f83nJrxD4IhFaLl7,10
0.913,119.873,0.584,0.627,1,2xVcCDRgG3TrH69TatsUxp,12
0.901,98.002,0.589,0.399,0,6Rpbzk2LC8xWZI93RyodAq,13
0.783,167.968,0.729,0.58,0,2oiixB9QMIzhWaHGVlQx4g,11
0.793,178.046,0.78,0.576,0,3Zyk5Vd9WNPNVWxvb0EZTk,11
0.713,123.06,0.703,0.576,1,5MxFWjuqQIsbNWbMdMdbli,12
0.537,157.437,0.602,0.753,1,0mzsLrUNazBaRfYZfjmpSV,10
0.743,95.975,0.831,0.609,0,0CYTGMBYkwUxrj1MWDLrC5,4
0.951,115.047,0.692,0.431,0,6WbAhuwE6fCOriBu5786X1,13
0.758,107.039,0.888,0.408,1,0fADaWdT3obxk7zvHS18VY,0
0.574,95.738,0.925,0.905,0,5Fh9fyHRnSwKLo4asG6fEX,4
0.751,92.032,0.761,0.553,0,0oBtwScT4B4BR5kZitNWd5,4
0.676,139.998,0.858,0.67,1,2oW52tBeJNSv93Ct5AJb8q,12
0.869,117.949,0.74,0.598,0,2caVKAWz7oM5Hw3LDWWVnQ,4
0.892,93.976,0.662,0.607,1,54ELExv56KCAB4UP9cOCzC,12
0.707,93.004,0.611,0.416,1,6P7Baz3uteblV2zklm39BC,5
0.838,92.927,0.79,0.962,0,1DxEbt6OSbrkRthk6pjZue,4
0.621,128.033,0.782,0.55,1,2tTmW7RDtMQtBk7m2rYeSw,12
0.724,176.076,0.631,0.957,0,0Iozrbed8spxoBnmtBMshO,11
0.784,138.078,0.826,0.893,0,2mpoNBkngUEwnaKoBhZ0vl,4
0.733,122.005,0.822,0.348,0,2ypbIXW3a7fsLdLtLpZWDZ,13
0.781,91.999,0.662,0.686,1,40vzZFWG1h60TdZPuxuX3Y,12
0.765,94.999,0.872,0.722,1,0NO2zL0kw8sGGnaMvHKAZF,12
0.806,81.01,0.83,0.663,0,1j4yhkxSCEDmiLVKjpYKWq,4
0.799,95.027,0.775,0.605,1,35ns1WEurw3MVlHJjHwNWQ,12
0.739,94.048,0.682,0.476,0,5S8i9p2xS8M8pFqfZMbMzI,1
0.803,90.999,0.818,0.82,0,3QWCxOv2YharMus6KbfiPJ,4
0.827,164.999,0.544,0.728,1,13FHy6nHjXHbzHj1dZFB1G,10
0.872,96.986,0.681,0.481,0,4EQOGfssbSpTlV6EZRtrSv,4
0.491,162.469,0.643,0.779,1,6Um358vY92UBv5DloTRX9L,10
0.736,94.048,0.727,0.644,0,6OzUIp8KjuwxJnCWkXp1uL,4
