speechiness,instrumentalness,acousticness,liveness,loudness,id,cluster
0.0287,0.0,0.00799,0.141,-4.608,4qbibbQ1yK0rPl0JUJS0bz,0
0.0312,0.00549,7.02e-05,0.121,-5.204,6Tm4Io4ct4w14nB1EUzsY3,0
0.0502,0.0,0.679,0.419,-7.153,2fBvSCdG3lDjImqJvnYtvq,2
0.0311,0.0,0.149,0.237,-7.419,3qXsX3mYSsD1DmAvc3PE3N,0
0.0352,0.0,0.695,0.107,-8.735,1brnLTvarI9D1hLP6z2Ar8,4
0.0633,0.0,0.00408,0.104,-4.807,6Z1bV93BP95h4YjIavrQPf,0
0.029,7.23e-06,0.126,0.115,-6.637,3fl4zil6HJ0N1FL3YIRwdC,0
0.0333,1.03e-06,0.0425,0.172,-4.394,3sT4lmGZF9Gy6XaLYvwH7A,0
0.0275,0.0,0.577,0.105,-7.3,4686eQ81DEswHa90bcdlC9,4
0.0329,0.0,0.00714,0.143,-3.058,5wtPc1OQ7g1H8FBkwWqbhh,0
0.026,0.0,0.0998,0.211,-4.716,3nei8eHEdiwwSfyoOCHPZI,0
0.0363,1.12e-05,0.0189,0.0858,-4.272,5kB6WithhB8Iv08EMNmAbt,0
0.0378,0.0,0.0985,0.101,-4.532,5b4n4Lp2ZAPDGO9nQM5IHR,0
0.0464,0.0,0.167,0.11,-4.235,2DPqR0kuZVjrOF5oxIRYPy,0
0.0333,3.78e-05,0.00528,0.251,-5.09,4aSRUXfKuBbmje0eXNukuL,0
0.0274,0.0,0.00478,0.24,-4.367,1xk2TQgJNtH3FErgICPgmb,0
0.0311,0.0,0.0014,0.104,-6.327,6Awl7JBDQjfm7xkS3LkhDi,0
0.0265,1.45e-06,0.0421,0.0996,-7.6,5Jwcv2Le3Klwgrgyqa12ZA,0
0.1,0.0,0.224,0.301,-5.424,6kCFt2ATuMIE5H9zVEJXei,2
0.0311,1.01e-05,0.148,0.158,-5.416,5ZCjp56T8J6d7amJyFSzrI,0
0.0337,5.79e-05,0.176,0.11,-7.279,5AihIu9yF3flkw1jFMyfwW,0
0.0337,0.0,0.0539,0.102,-4.368,7ETjhPaIU4UmHOiimJBZz9,0
0.042,0.0,0.0508,0.106,-3.004,2DvOwcQd7RB5IV7MdlwpvN,0
0.0473,0.0,0.0697,0.0955,-2.695,4viFAHmivkYQKkwLvwKOgg,0
0.0425,5.87e-06,0.73,0.118,-10.293,57YkkgxAiusJPMtiSG3w3c,4
0.0325,0.0,0.257,0.288,-5.932,5OLaVCAM2pqg7X9mAM2W8M,0
0.0285,0.0,0.0482,0.18,-4.256,4iy69rTUn8cAY8Q8q9vfOw,0
0.0351,0.0,0.0401,0.121,-4.098,0isqpzdmr2hsKb50uBSCdo,0
0.0282,0.0,0.434,0.104,-5.752,0EAzZ4aKlERuRmAYIXcRX6,0
0.0296,1.72e-06,0.0042,0.26,-5.126,6KGtAlYvgm4W9PoYabFAYE,0
0.0328,0.0,0.0237,0.106,-3.139,1pbUfl4W9KtQ5hNkT6RiXp,0
0.0332,1.93e-05,0.0551,0.0665,-6.982,6BWOWBSalJEp7woRZSyiMb,0
0.039,0.00156,0.00481,0.111,-4.893,16Sdmdt7jpibASwEsO0s9j,0
0.039,0.0,0.234,0.317,-3.51,1116cRlf1zVJXVI2fUUwFD,2
0.026,0.00267,0.0379,0.23,-6.695,3knS4WXNNRBd3zkx2v78cx,0
0.0393,0.0,0.454,0.141,-4.35,1jX9wlAgVkAl0fCZqkCI73,0
0.0272,0.0,0.277,0.0979,-6.98,7trjNYF5ek7zX4GKSHQZbP,0
0.085,0.0,0.00958,0.102,-3.53,4oGCfTHN1hmXGy5mqmJVc3,0
0.0326,0.0,0.0168,0.13,-5.494,4cF4vuC7Ci29yhnbuoFRZx,0
0.0318,0.0,0.00411,0.345,-3.925,6Qpfsw8OS5HW5XxgmXYLWS,2
0.0346,0.0,0.175,0.274,-6.129,3zAOcNGOFq5Q1OsN0tcxA0,0
0.0444,0.0,0.000403,0.514,-3.459,1JJGASeJlXOH7NcO6JuKO1,2
0.0266,0.0,0.0979,0.151,-3.412,2hsarLx1u2OgOmkcJ8ejBm,0
0.0388,1.24e-05,0.17,0.13,-4.259,418ve8CTLM3XbeGWSq8fA6,0
0.0338,0.0,0.141,0.0614,-5.292,4QWXSTeUHFzU0INh7SNqSU,0
0.0601,0.0,0.0107,0.158,-6.778,1KHCFA1Wb1MYQi4WQIYqrm,0
0.0313,3.13e-06,0.0906,0.0647,-6.992,5JLf54f83nJrxD4IhFaLl7,0
0.223,5.36e-05,0.521,0.307,-5.263,2xVcCDRgG3TrH69TatsUxp,3
0.289,0.000237,0.00302,0.0992,-6.713,6Rpbzk2LC8xWZI93RyodAq,3
0.0691,0.000272,0.0492,0.1,-3.549,2oiixB9QMIzhWaHGVlQx4g,0
0.249,0.0,0.341,0.111,-4.247,3Zyk5Vd9WNPNVWxvb0EZTk,3
0.194,0.0,0.298,0.321,-5.769,5MxFWjuqQIsbNWbMdMdbli,3
0.0458,0.0,0.296,0.0715,-4.631,0mzsLrUNazBaRfYZfjmpSV,0
0.0584,6.43e-05,0.114,0.35,-4.042,0CYTGMBYkwUxrj1MWDLrC5,2
0.312,0.000182,0.472,0.0894,-4.038,6WbAhuwE6fCOriBu5786X1,3
0.0706,0.00139,0.34,0.144,-2.851,0fADaWdT3obxk7zvHS18VY,0
0.0648,0.0,0.407,0.259,-3.729,5Fh9fyHRnSwKLo4asG6fEX,0
0.15,0.000238,0.251,0.0991,-4.113,0oBtwScT4B4BR5kZitNWd5,0
0.0467,0.0,0.0354,0.211,-2.636,2oW52tBeJNSv93Ct5AJb8q,0
0.108,7.95e-06,0.649,0.135,-4.699,2caVKAWz7oM5Hw3LDWWVnQ,4
0.162,1.24e-06,0.169,0.363,-3.894,54ELExv56KCAB4UP9cOCzC,2
0.0424,3.18e-06,0.395,0.11,-5.798,6P7Baz3uteblV2zklm39BC,0
0.108,3.33e-06,0.431,0.184,-1.602,1DxEbt6OSbrkRthk6pjZue,0
0.044,0.033,0.0125,0.23,-5.548,2tTmW7RDtMQtBk7m2rYeSw,0
0.0686,0.0,0.249,0.213,-4.42,0Iozrbed8spxoBnmtBMshO,0
0.0538,7.09e-05,0.0965,0.123,-6.34,2mpoNBkngUEwnaKoBhZ0vl,0
0.077,0.0,0.0308,0.101,-3.842,2ypbIXW3a7fsLdLtLpZWDZ,0
0.0336,0.0,0.355,0.161,-3.825,40vzZFWG1h60TdZPuxuX3Y,0
0.0498,5.65e-06,0.173,0.0749,-5.863,0NO2zL0kw8sGGnaMvHKAZF,0
0.0981,0.0,0.117,0.101,-3.767,1j4yhkxSCEDmiLVKjpYKWq,0
0.077,0.00526,0.0308,0.309,-5.869,35ns1WEurw3MVlHJjHwNWQ,2
0.0972,3.95e-05,0.417,0.105,-5.121,5S8i9p2xS8M8pFqfZMbMzI,0
0.066,0.00471,0.149,0.0653,-3.232,3QWCxOv2YharMus6KbfiPJ,0
0.158,0.0,0.308,0.438,-7.225,13FHy6nHjXHbzHj1dZFB1G,2
0.11,1.38e-05,0.0462,0.129,-4.348,4EQOGfssbSpTlV6EZRtrSv,0
0.0442,0.0,0.187,0.109,-4.309,6Um358vY92UBv5DloTRX9L,0
0.0571,1.91e-06,0.0584,0.0976,-4.642,6OzUIp8KjuwxJnCWkXp1uL,0
0.0846,0.0,0.0278,0.312,-4.79,1PAvhqefivTNdxZ4u8RT1d,2
0.0668,0.0,0.692,0.0715,-6.178,3HMlb6Dh9OGr3CjV6IwjEP,4
0.188,0.000201,0.0984,0.101,-4.688,0Dl34Kegtc0y0m0oPhQfiI,0
0.0876,0.0361,0.00127,0.311,-0.722,2TDyyEBasw10wu5Uh94bR1,2
0.0538,0.0,0.0798,0.118,-5.477,5NxhMcHSVY3Z7ykWxZf3aj,0
0.406,0.0,0.102,0.138,-6.243,7EyGZtJuOckQfMDJL1PPrH,3
0.0929,0.0,0.325,0.104,-4.932,4dLIAE3xbJLoiIBbKkZWJk,0
0.117,0.0,0.121,0.0886,-4.921,0rvbMTIWwMZaMC9UnubDPb,0
0.0826,0.0,0.0628,0.0916,-4.943,6TBzRwnX2oYd8aOrOuyK1p,0
0.0972,0.000107,0.152,0.274,-6.657,1lRtH4FszTrwwlK5gTSbXO,0
0.0722,0.0,0.102,0.293,-5.537,3kUq4sBcmxhnOtNysZ9yrp,0
0.0516,1.73e-05,0.141,0.0639,-8.797,5Eax0qFko2dh7Rl2lYs3bx,0
0.0366,0.0,0.551,0.0737,-6.302,1caKQ2Nqtr1eoczaB83cUz,4
0.149,0.0,0.276,0.339,-3.511,2X8AGLwb9F0JzJ9zT27a22,2
0.229,3.56e-05,0.44,0.124,-4.44,3LWay44eeYFEh27Gf1UA7J,3
0.0315,3.05e-06,0.449,0.297,-3.897,2K9kZpwD2CzTa6iiSYYOoO,0
0.144,0.0,0.0145,0.08,-10.603,4wteGC0HtLeZWjDcczc4Pw,0
0.14,0.427,0.647,0.113,-14.62,1wTopxO5eQBpxrBXPSbsUn,4
0.0852,0.000365,0.0158,0.071,-2.966,1JUtrCqYzJ80tcAzMbCvir,0
0.0261,0.0,0.0708,0.331,-3.485,1yHVHoz6Ny29gbbWJYVnFt,2
0.124,0.0,0.202,0.854,-5.349,2JIY6nN5kkkfNz0TckPqYu,2
0.0365,5.56e-06,0.00887,0.0791,-5.41,7rS4oy2qpJNULQAVgJQTun,0
0.0538,0.00586,0.133,0.137,-8.457,2x8zUjRP6z5N2GmZ13zU76,0
0.0282,0.0542,0.77,0.105,-10.146,3iBgrkexCzVuPy4O9vx7Mf,4
0.212,0.0,0.396,0.0619,-4.023,12cZWGf5ZgLcKubEW9mx5q,3
0.0784,0.000413,0.473,0.129,-10.147,0wOtc2nY3NOohp4xSwOyTN,4
0.0375,0.0,0.227,0.112,-5.89,65gLItuJFVkdt3k4ibQMAz,0
0.0361,0.0,0.78,0.094,-5.441,74d3yEyNl807mtzttoKTbK,4
0.0703,0.00464,0.813,0.122,-5.979,31Wlc9ZnraX3JxrvMg9e8H,4
0.0761,0.0,0.35,0.108,-10.189,0GfCR4T6WOErZOw1557ln7,0
0.043,0.0,0.0635,0.215,-7.486,0XdwIG7p28SeTam3DVdMX6,0
0.0281,0.0377,0.404,0.112,-7.437,5UhZyWfrSEhGYfIIFNYscF,0
0.0866,0.0,0.0518,0.298,0.719,48ElaQLYuOaybqagIlPxpU,0
0.0358,0.0412,0.00161,0.0875,-7.497,2XynYulas10Wmef4Gqrxw9,0
0.0573,0.227,0.00243,0.391,-9.718,4IPATLSUoEdsmqwxwNjr4g,2
0.287,0.0184,0.00385,0.303,-5.563,76YXmewvHFse7tBeOTtSx3,3
